from_code,from_name,to_code,to_name,distance_km
552207,İmişli,550108,Culfa (eksport),284.0
552207,İmişli,553002,Ələt eksport-Kurik,135.0
552207,İmişli,548803,Ələt eksport-Türk.,135.0
552207,İmişli,549204,Ələt eksport-Aktau,135.0
551007,Karçevan,547508,Yalama (eksport),608.0
551007,Karçevan,554503,Astara (eksport),470.0
551007,Karçevan,558701,Böyük Kəsik (eksport),690.0
551007,Karçevan,550108,Culfa (eksport),62.0
551007,Karçevan,553002,Ələt eksport-Kurik,357.0
551007,Karçevan,548803,Ələt eksport-Türk.,357.0
551007,Karçevan,549204,Ələt eksport-Aktau,357.0
547001,Keşlə,547508,Yalama (eksport),200.0
547001,Keşlə,554503,Astara (eksport),320.0
547001,Keşlə,558701,Böyük Kəsik (eksport),496.0
547001,Keşlə,550108,Culfa (eksport),486.0
547001,Keşlə,553002,Ələt eksport-Kurik,87.0
547001,Keşlə,548803,Ələt eksport-Türk.,87.0
547001,Keşlə,549204,Ələt eksport-Aktau,87.0
555205,Köçərli,547508,Yalama (eksport),515.0
555205,Köçərli,554503,Astara (eksport),421.0
555205,Köçərli,558701,Böyük Kəsik (eksport),253.0
555205,Köçərli,550108,Culfa (eksport),587.0
555205,Köçərli,553002,Ələt eksport-Kurik,264.0
555205,Köçərli,548803,Ələt eksport-Türk.,264.0
555205,Köçərli,549204,Ələt eksport-Aktau,264.0
554607,Kürdəmir,547508,Yalama (eksport),380.0
554607,Kürdəmir,554503,Astara (eksport),286.0
554607,Kürdəmir,558701,Böyük Kəsik (eksport),300.0
554607,Kürdəmir,550108,Culfa (eksport),452.0
554607,Kürdəmir,553002,Ələt eksport-Kurik,129.0
554607,Kürdəmir,548803,Ələt eksport-Türk.,129.0
554607,Kürdəmir,549204,Ələt eksport-Aktau,129.0
557605,Kürəkçay,547508,Yalama (eksport),508.0
557605,Kürəkçay,554503,Astara (eksport),414.0
557605,Kürəkçay,558701,Böyük Kəsik (eksport),172.0
557605,Kürəkçay,550108,Culfa (eksport),580.0
557605,Kürəkçay,553002,Ələt eksport-Kurik,257.0
557605,Kürəkçay,548803,Ələt eksport-Türk.,257.0
557605,Kürəkçay,549204,Ələt eksport-Aktau,257.0
549505,Ləcət,547508,Yalama (eksport),13.0
549505,Ləcət,554503,Astara (eksport),491.0
549505,Ləcət,558701,Böyük Kəsik (eksport),667.0
549505,Ləcət,550108,Culfa (eksport),657.0
549505,Ləcət,553002,Ələt eksport-Kurik,258.0
549505,Ləcət,548803,Ələt eksport-Türk.,258.0
549505,Ləcət,549204,Ələt eksport-Aktau,258.0
555008,Ləki,547508,Yalama (eksport),446.0
555008,Ləki,554503,Astara (eksport),352.0
555008,Ləki,558701,Böyük Kəsik (eksport),234.0
555008,Ləki,550108,Culfa (eksport),518.0
555008,Ləki,553002,Ələt eksport-Kurik,195.0
555008,Ləki,548803,Ələt eksport-Türk.,195.0
555008,Ləki,549204,Ələt eksport-Aktau,195.0
553905,Lənkəran,547508,Yalama (eksport),474.0
553905,Lənkəran,554503,Astara (eksport),30.0
553905,Lənkəran,558701,Böyük Kəsik (eksport),556.0
553905,Lənkəran,550108,Culfa (eksport),502.0
553905,Lənkəran,553002,Ələt eksport-Kurik,223.0
553905,Lənkəran,548803,Ələt eksport-Türk.,223.0
553905,Lənkəran,549204,Ələt eksport-Aktau,223.0
553604,Liman,547508,Yalama (eksport),462.0
553604,Liman,554503,Astara (eksport),42.0
553604,Liman,558701,Böyük Kəsik (eksport),544.0
553604,Liman,550108,Culfa (eksport),490.0
553604,Liman,553002,Ələt eksport-Kurik,211.0
553604,Liman,548803,Ələt eksport-Türk.,211.0
553604,Liman,549204,Ələt eksport-Aktau,211.0
551702,Mahmudlu,547508,Yalama (eksport),486.0
551702,Mahmudlu,554503,Astara (eksport),348.0
551702,Mahmudlu,558701,Böyük Kəsik (eksport),568.0
551702,Mahmudlu,550108,Culfa (eksport),184.0
551702,Mahmudlu,553002,Ələt eksport-Kurik,235.0
551702,Mahmudlu,548803,Ələt eksport-Türk.,235.0
551702,Mahmudlu,549204,Ələt eksport-Aktau,235.0
553407,Masallı,547508,Yalama (eksport),428.0
553407,Masallı,554503,Astara (eksport),76.0
553407,Masallı,558701,Böyük Kəsik (eksport),510.0
553407,Masallı,550108,Culfa (eksport),456.0
553407,Masallı,553002,Ələt eksport-Kurik,177.0
553407,Masallı,548803,Ələt eksport-Türk.,177.0
553407,Masallı,549204,Ələt eksport-Aktau,177.0
549609,Maştağa,547508,Yalama (eksport),226.0
549609,Maştağa,554503,Astara (eksport),346.0
549609,Maştağa,558701,Böyük Kəsik (eksport),522.0
549609,Maştağa,550108,Culfa (eksport),512.0
549609,Maştağa,553002,Ələt eksport-Kurik,113.0
549609,Maştağa,548803,Ələt eksport-Türk.,113.0
549609,Maştağa,549204,Ələt eksport-Aktau,113.0
551100,Mehri,547508,Yalama (eksport),599.0
551100,Mehri,554503,Astara (eksport),461.0
551100,Mehri,558701,Böyük Kəsik (eksport),681.0
551100,Mehri,550108,Culfa (eksport),71.0
551100,Mehri,553002,Ələt eksport-Kurik,348.0
551100,Mehri,548803,Ələt eksport-Türk.,348.0
551100,Mehri,549204,Ələt eksport-Aktau,348.0
551204,Mincivan,547508,Yalama (eksport),544.0
551204,Mincivan,554503,Astara (eksport),406.0
551204,Mincivan,558701,Böyük Kəsik (eksport),626.0
551204,Mincivan,550108,Culfa (eksport),126.0
551204,Mincivan,553002,Ələt eksport-Kurik,293.0
551204,Mincivan,548803,Ələt eksport-Türk.,293.0
551204,Mincivan,549204,Ələt eksport-Aktau,293.0
