Раздел,Глава,Наименование,GNG_text
02,0207,"Мясо   и   пищевые   субпродукты   гусей,   не   разделенные   на   части,   свежие   или   охлажденные, ощипанные и потрошеные, без головы и плюсен ног, с сердцем и мускульным желудком или без них, представленные как ""75%-ные гуси"", или представленные в ",02075190
02,0207,"Мясо и пищевые субпродукты гусей, не разделенные на части, замороженные",02075200
02,0207,"Мясо   и   пищевые   субпродукты   гусей,   не   разделенные   на   части,   мороженые,   ощипанные,
обескровленные, непотрошеные, с головой и плюснами ног, представленные как ""82%-ные гуси""",02075210
02,0207,"Мясо   и   пищевые   субпродукты   гусей,   не   разделенные   на   части,   мороженые,   ощипанные   и потрошеные,   без   головы   и   плюсен   ног,   с   сердцем   и   мускульным   желудком   или   без   них, представленные как ""75%-ные гуси"", или пред",02075290
02,0207,"Печень жирная, свежая или охлажденная, гусиная",02075300
02,0207,"Мясо и пищевые субпродукты гусей, прочие, свежие или охлажденные",02075400
02,0207,"Части тушек гусей прочие, свежие или охлажденные, обваленные",02075410
02,0207,"Половины или четвертины тушек гусей, свежие или охлажденные, необваленные",02075421
02,0207,"Крылья цельные, с тонким концом или без него гусей, свежие или охлажденные, необваленные",02075431
02,0207,"Спинки,  шейки,  спинки  вместе  с  шейкой,  гузки  и  тонкие  концы  крыльев  гусей,  свежие  или охлажденные, необваленные",02075441
02,0207,"Грудки гусей и куски из них, свежие или охлажденные, необваленные",02075451
02,0207,"Ножки гусей и куски из них, свежие или охлажденные, необваленные",02075461
02,0207,"Палетоты гусиные или утиные, свежие или охлажденные, необваленные",02075471
02,0207,"Части тушек гусей прочие, свежие или охлажденные, необваленные",02075481
02,0207,"Печень, кроме жирной, гусей свежая или охлажденная",02075491
02,0207,"Субпродукты гусей, свежие или охлажденные, прочие",02075499
02,0207,"Мясо и пищевые субпродукты гусей, прочие, замороженные",02075500
02,0207,"Части тушек гусей замороженные, прочие, обваленные",02075510
02,0207,"Половины или четвертины тушек гусей замороженные, прочие, необваленные",02075521
02,0207,"Крылья цельные, с тонким концом или без него замороженные гусей, необваленные",02075531
02,0207,"Спинки,  шейки,  спинки  вместе  с  шейкой,  гузки  и  тонкие  концы  крыльев  гусей,  замороженные, необваленные",02075541
02,0207,"Грудки гусей и куски из них замороженные, прочие, необваленные",02075551
